	DTHY	h
depresión	BX1E	BX
depresión	BX2b	w
depresión	BX3L	BM
depresión	BXzz	BR
deprimente	BX6B	w
deprimido	BX6x	9
deprimir	BX8i	q
deprimirse	BX7u	0
deprisa	BX9M	v
depósito	BXv/	BG
depósito	BXx1	BB
depósito	BXxF	w
derechista	BX/t	BL
derecho	BYA4	z
derecho	BYBr	n
derecho	BYC1	i
derecho	BYCS	j
derecho	BYDX	BC
derecho	BYEZ	BA
derecho	BYFZ	p
derecho	BYGC	BE
derecho	BYHG	+
derecho	BYIE	r
derecho	BYIv	B2
derivado	BYL/	x
derivado	BYLT	s
derivar	BYMw	m
derramar	BYNW	BY
derrame	BYQM	BC
derrame	BYRO	BF
derrame	BYST	p
derrame de sangre	BYOu	Be
derretir	BYT7	4
derretirse	BYS8	/
derribar	BYUz	o
derrochador	BYVb	+
derrochar	BYWZ	v
derroche	BYXI	1
derrota	BYX9	v
derrotar	BYYs	BA
derrumbarse	BYZs	BK
derrumbe	BYa2	w
desabrigado	BYbm	4
desabrigado	BYce	1
desafiar	BYdT	r
desafortunado	BYez	5
desafortunado	BYfs	BD
desafío	BYd+	1
desagradable	BYgv	BE
desagradar	BYhz	v
desagradecido	BYii	5
desagrado	BYjb	2
desagüe	BYkR	BC
desajuste	BYlT	y
desaliñado	BYmF	w
desalojar	BYm1	n
desalojo	BYnc	v
desamor	BYoL	z
desamparar	BYo+	BC
desaparecer	BYqA	0
desaparecido	BYq0	3
desaparecido	BYrr	4
desaparecido	BYsj	BZ
desaparición	BYt8	BA
desapercibido	BYu8	BM
desarrollado	BYwI	0
desarrollar	BYw8	w
desarrollo	BYxs	Bh
desaseado	BYzN	7
desastre	BY0I	x
desastroso	BY05	/
desatar	BY14	l
desatar	BY2d	/
desatornillar	BY3c	3
desayunar	BY4T	q
desayuno	BY49	z
desbordarse	BY5w	BE
desbordarse	BY60	y
descafeinado	BY7m	3
descalificación	BY8d	BJ
descalzo	BY9m	l
descampado	BY+L	4
descansado	BY/D	t
descansar	BZAh	0
descansarse	BY/w	x
descanso	BZBV	Bg
descapotable	BZC1	BN
descarado	BZEC	v
descargar	BZEx	2
descargar	BZG3	BE
descargarse	BZFn	BQ
descartar	BZH7	+
descendencia	BZI5	8
descendente	BZJ1	BG
descender	BZK7	2
descender	BZLx	q
descender	BZMb	BR
descendiente	BZNs	BT
descifrar	BZO/	BE
descifrar	BZQD	s
descomponer	BZSj	BF
descomponerse	BZQv	5
descomponerse	BZRo	7
descomposición	BZTo	Br
descomposición	BZVT	+
descompuesto	BZWR	7
descompuesto	BZXM	BF
desconfiado	BZYR	y
desconfianza	BZZD	6
desconfiar	BZZ9	s
descongelar	BZap	t
desconocido	BZbW	w
desconocido	BZcG	1
descortés	BZc7	n
descremado	BZdi	t
describir	BZeP	t
descripción	BZe8	8
descriptivo	BZf4	1
descubierta	BZhu	BQ
descubierto	BZgt	BB
descubierto	BZhu	BQ
descubierto	BZi+	BA
descubrimiento	BZj+	BA
descubrir	BZmH	r
descubrir	BZmy	r
descubrir	BZnd	+
descubrir su pecho	BZk+	BJ
descuento	BZob	BH
descuidado	BZpi	BH
descuidar	BZqp	x
descuidar	BZra	BC
descuido	BZsc	1
descuido	BZtR	z
descuido	BZuE	2
desde	BZyW	W
desde	BZys	f
desde aquí	BZu6	q
desde hace	BZvk	i
desde luego	BZwG	BL
desde luego	BZxR	BF
desdicha	BZz9	v
desdichado	BZzL	y
deseable	BZ0s	u
desear	BZ1a	j
desechable	BZ19	9
desechar	BZ26	o
desechos	BZ3i	BD
desembarcar	BZ4l	BE
desempleada	BZ5p	5
desempleado	BZ6i	w
desempleado	BZ7S	5
desempleado	BZ8L	6
desempleo	BZ9F	5
desencadenar	BZ/B	y
desencadenar	BZ9+	BD
desenchufar	BZ/z	7
deseo	BaAu	l
deseoso	BaBT	l
desequilibrado	BaB4	BN
desequilibrado	BaDF	9
desequilibrio	BaEC	Bh
deserción	BaFj	4
desertar	BaGb	BD
desertor	BaIH	Bn
desesperación	BaJu	BC
desesperada	BaKw	BT
desesperado	BaKw	BT
desesperante	BaMD	3
desesperar	BaNs	7
desesperarse	BaM6	y
desfilar	BaOn	s
desfile	BaQU	Bh
desfile	BaR1	BA
desfile de moda	BaPT	BB
desgarrar	BaS1	t
desgarrón	BaTi	x
desgastarse	BaUT	BG
desgaste	BaVZ	BI
desgracia	BaZp	BG
desgraciadamente	BaWh	BV
desgraciado	BaX2	1
desgraciado	BaYr	+
deshabitado	Baav	v
deshacer	Babe	t
deshacer	BadY	/
deshacer	BaeX	0
deshacer	BafL	5
deshacerse de alguien	BacL	BN
deshidratación	BagE	BE
deshonra	BahI	r
desierto	Bahz	3
desierto	Baiq	j
desierto	BajN	s
desigual	Baj5	BF
desigualdad	Bak+	7
desilusionado	Bal5	BN
desilusionar	BanG	0
desinfección	Ban6	/
desinfectante	Bao5	3
desinfectar	Bapw	x
desinflado	Baqh	9
desinflarse	Bare	BJ
desinterés	Basn	5
deslizar	Batg	1
desmayado	BauV	u
desmayarse	BavD	1
desmayo	Bav4	s
desmentir	Bawk	4
desmenuzar	Baxc	u
desmesurada	BayK	Bi
desmesurada	Bazs	Br
desmesurado	BayK	Bi
desmesurado	Bazs	Br
desmoronamiento	Ba1X	BW
desnudar	Ba3a	5
desnudarse	Ba2t	t
desnudez	Ba4T	y
desnudo	Ba5F	y
desnutrición	Ba53	BB
desnutrido	Ba64	y
desobedecer	Ba7q	4
desobediencia	Ba8i	/
desobediente	Ba9h	0
desocupado	Ba+V	BB
desocupar	Ba/W	5
desolación	BbAP	7
desolado	BbBK	o
desorden	BbDe	w
desordenado	BbBy	0
desordenar	BbCm	4
despachar	BbEO	r
despacho	BbE5	z
despacho	BbFs	r
despacio	BbG8	j
despacio	BbGX	l
despacio	BbHf	q
despacio	BbIJ	y
despareja	BbI7	BA
desparejo	BbI7	BA
despecho	BbJ7	r
despectiva	BbKm	BO
despectivo	BbKm	BO
despedida	BbL0	z
despedir	BbOD	0
despedir	BbPo	BF
despedir a alguien	BbMn	Bc
despedirse	BbO3	x
despegado	BbQt	s
despegar	BbRZ	w
despegar	BbSJ	/
despegar	BbTI	0
despegue	BbT8	BL
despejada	BbVH	BX
despejado	BbVH	BX
despelucharse	BbWe	6
despensa	BbXY	BN
despensa	BbYl	z
desperdiciar	BbZY	1
desperdicio	BbaN	BJ
desperdicio	BbbW	9
despertador	BbcT	2
despertar	Bbeh	BD
despertar	Bbfk	z
despertarse	BbdJ	q
despertarse	Bbdz	u
despido	BbgX	u
despido	BbhF	u
despido	Bbhz	y
despierto	Bbil	k
despistado	BbjJ	t
despistar	Bbj2	o
desplazar	Bbke	BK
desplegar	Bblo	Bd
desplegar las alas	BbnF	BH
desplegarse	BboM	5
despoblado	BbpF	u
desposar	Bbpz	2
despreciable	Bbqp	4
despreciar	Bbrh	t
desprecio	BbsO	z
desprender	BbuB	BD
desprenderse	BbtB	BA
desprendimiento	BbvE	BX
despreocupado	Bbwb	BH
después	Bbxi	BP
después de	Bbzs	j
después de cristo	Bbyx	7
después de que	Bb0P	BM
después de todo	Bb1b	3
después que	Bb0P	BM
destacado	Bb2S	u
destacar	Bb3A	8
destapar	Bb38	l
desterrada	Bb4h	BI
desterrado	Bb4h	BI
destierro	Bb5p	z
destilar	Bb6c	q
destilería	Bb7G	4
destinado a	Bb7+	v
destino	Bb+h	/
destino	Bb8t	BI
destino	Bb91	s
destituir	Bb/g	9
destituir de su cargos	BcAd	Bt
destornillador	BcCK	BH
destornillar	BcDR	y
destrozar	BcED	s
destrozo	BcEv	x
destrucción	BcFg	7
destructivo	BcGb	BG
destruir	BcHh	p
desusada	BcIv	BR
desusado	BcIv	BR
desvalorización	BcKA	BH
desvalorizarse	BcLH	9
desvanecerse	BcME	BD
desvergonzado	BcNz	z
desvergüenza	BcOm	Bc
desvestirse	BcQC	v
desvestirse	BcQx	z
desviar	BcRk	j
desván	BcNH	s
desvío	BcSH	s
desértico	BaHe	p
detallado	BcSz	BA
detallar	BcTz	2
detalle	BcUp	p
detección	BcVS	0
detectar	BcWG	4
detective	BcW+	y
detención	BcXw	z
detención	BcYj	1
detener	Bca1	l
detener	BcaR	k
detenerse	BcZY	5
detenida	Bcba	y
detenido	Bcc9	z
detenido	BccM	x
detergente	Bciw	BW
detergente lavaplatos	Bcdw	BT
detergente lavaplatos	BcfD	B0
detergente lavavajillas	Bcg3	B5
deteriorar	BckG	w
deterioro	Bck2	y
determinación	Bclo	BC
determinado	Bcmq	v
determinar	BcnZ	s
detestar	BcoF	k
detonación	BcrK	3
detonar	BcsB	m
detrás	BctL	b
detrás de	Bcsn	k
deudas	Bctm	v
deudor	BcuV	t
devaluación	BcwC	9
devastador	Bcw/	w
devastar	Bcxv	o
devoción	Bc0A	z
devoción	BcyX	2
devoción	BczN	z
devolución	Bc0z	3
devolver	Bc3p	p
devolver	Bc4S	BB
devolver	Bc5T	BA
devolverse	Bc1q	BM
devolverse	Bc22	z
devorar	Bc6T	q
devoto	Bc69	z
devoto	Bc7w	f
diabla	Bc87	q
diablo	Bc9l	o
diabólico	Bc+N	7
diagnosticar	BdE4	2
diagnosticar	BdEG	y
diagnóstico	BdFu	1
diagonal	BdGj	2
dialecto	BdHZ	s
diaria	BdKv	w
diariamente	BdKB	u
diario	BdKv	w
diario	BdLf	BE
diarrea	BdMj	u
dibujar	BdOe	l
dibujo	BdPD	o
dibujo	BdPr	p
dibujo	BdQU	r
diccionario	BdQ/	6
dicha	BdR5	m
dicho	BdSf	r
dicho	BdTK	m
dichoso	BdTw	m
diciembre	BdUW	x
dictador	BdV8	x
dictadora	BdVH	1
dictamen	BdWt	u
dictar	BdX7	h
dictar	BdXb	g
dictar	BdYc	k
diecinueve	BdZA	n
dieciocho	BdZn	j
diecisiete	Bdav	m
dieciséis	BdaK	l
diente	BdcV	m
diente de ajo	BdbV	BA
diestro	Bdc7	h
diestro	Bddc	l
diestro	BdeB	x
dieta	Bdey	k
dieta	BdfW	j
dietas	Bdf5	7
dietético	Bdg0	m
diez	Bdha	U
difamación	Bdhu	4
difamar	Bdim	m
diferencia	BdjM	3
diferencia	Bdk3	5
diferencia	BdkD	0
diferenciar	Bdlw	0
diferenciar	Bdmk	z
diferente	BdnX	7
dificultad	BdqN	4
difundir	BdrF	o
difunto	Bdrt	l
difusión	BdsS	BA
difuso	BdtS	y
difícil	BdoS	z
difícilmente	BdpF	BI
digestivo	Bdu3	t
digestivo	Bdvk	1
digestión	BduE	z
dignarse	BdwZ	t
dignidad	BdxG	v
digno	Bdx1	f
dije	BdyU	6
dije	BdzO	n
dijo	Bdz1	Y
dilatación	Bd0N	0
dilatar	Bd1B	u
dilema	Bd1v	o
diligencia	Bd2X	3
diluir	Bd3O	j
diluir	Bd3x	k
diluvio	Bd4V	s
dimensión	Bd50	z
dimensión	Bd5B	z
dimensión	Bd6n	BI
dimensión	Bd7v	5
diminutivo	Bd8o	BV
dimisión	Bd99	y
dinamarca	Bd+v	l
dinamita	BeAL	u
dinamitar	BeA5	w
dinamitero	BeBp	Bd
dinamo	BeDG	n
dinamo	BeDt	u
dineral	BeEb	v
dinero	BeFK	m
dinámico	Bd/U	3
dios	BeHO	T
dios	BeHh	BG
dios de sol	BeGW	4
diosa	BeFw	m
diploma	BeJQ	p
diplomado	BeIn	p
diplomático	BeJ5	y
diptongo	BeKr	y
diputado	BeLd	z
dirección	BeMQ	z
dirección	BeN6	0
dirección	BeND	3
dirección	BeQ0	0
dirección	BeRo	1
dirección física	BeOu	CG
directamente	BeSd	u
directiva	BeTL	0
directivo	BeT/	5
directo	BeU4	i
director	BeW+	x
director ejecutivo	BeVa	Bk
dirigente	BeXv	BI
dirigir	Bear	j
dirigir	BebO	x
dirigirse	BeZs	/
dirigirse a	BeY3	1
discado	Beb/	BF
discar	BedE	s
disciplina	BehR	1
disciplina de vota	Bedw	BS
disciplinada	Bef4	BZ
disciplinado	Bef4	BZ
disciplinado	BefC	2
disco	Beke	r
disco duro	Bejn	3
disconforme	BelJ	5
discoteca	BemC	BF
discoteca	BenH	y
discreción	Ben5	BW
discreción	BepP	5
discrepancia	BeqI	7
discrepancia	BerD	BI
discreta	BeuA	9
discreto	BesL	l
discreto	Besw	m
discreto	BetW	q
discreto	BeuA	9
discriminación	Beu9	BH
discriminación	BewE	BG
discriminar	Bex9	y
discriminar	BexK	z
disculpa	Beyv	z
disculpar	Bezi	p
disculparse	Be0L	y
discurso	Be09	BB
discusión	Be1+	0
discutir	Be2y	Bg
discípulo	Bei2	x
discípulo	BeiG	w
diseñador	Be4S	1
diseñador	Be5H	5
diseñar	Be6A	j
diseñar	Be6j	n
diseñar	Be7+	q
diseñar	Be7K	0
diseñar	Be8o	m
diseño	Be9O	+
disfraz	BfAY	BF
disfraz	BfBd	w
disfrazada	Be+M	BK
disfrazado	Be+M	BK
disfrazarse de	Be/W	BC
disfrutar	BfCN	q
disgustado	BfC3	v
disgusto	BfDm	2
disidencia	BfEc	BK
disidente	BfFm	t
disidente	BfGT	BP
disidente	BfHi	BO
disidir	BfIw	m
disminuido	BfJW	u
disminuir	BfKE	B0
disnea	BfL4	u
disolverse	BfMm	BD
disparar	BfNp	Bl
disparar	BfQA	n
disparar	BfQn	o
disparar a puerta	BfNp	Bl
dispararse	BfPO	y
disparate	BfRP	w
disparo	BfR/	q
dispersar	BfSp	n
disponer	BfV6	5
disponer	BfWz	n
disponer de	BfTQ	2
disponer de	BfUG	8
disponerse a 	BfVC	4
disponibilidad	BfXa	BF
disponible	BfYf	u
dispuesta	BfaG	BL
dispuesto	BfaG	BL
dispuesto a todo	BfZN	5
distancia	BfbR	BZ
distanciamiento	Bfcq	BE
distanciamiento	Bfdu	BC
distanciar	Bff1	v
distanciar	Bfgk	s
distanciarse de	Bfew	BF
distante	BfhQ	8
distinción	BfiM	5
distinción	BfjF	7
distinguido	BfkA	2
distinguir	Bfk2	1
distinguir	Bflr	w
distinta	Bfmb	BH
distinta	Bfni	BV
distinto	Bfmb	BH
distinto	Bfni	BV
distracción	Bfo3	BY
distracción	BfqP	BU
distraer	Bfss	4
distraerse	Bfrj	BJ
distraído	Bftk	9
distribución	Bfuh	/
distribución	Bfvg	9
distribución	Bfwd	9
distribuidor	Bfxa	BS
distribuir	Bf0H	t
distribuir	Bfys	u
distribuir	Bfza	t
distrito	Bf00	BL
diurno	Bf1/	i
diversidad	Bf2h	BT
diversión	Bf30	3
diversión	Bf4r	BQ
diverso	Bf57	1
divertida	Bf6w	Bn
divertido	Bf6w	Bn
divertirse	Bf8X	z
dividir	Bf+v	/
dividir	Bf/u	o
dividir	Bf94	3
dividirse	Bf9K	u
divino	BgAW	5
divino	BgBP	j
división	BgD9	8
división	BgDE	5
división de poderes	BgBy	BS
divorciada	BgE5	BS
divorciado	BgE5	BS
divorciarse	BgGL	3
divorcio	BgHC	x
divulgación	BgHz	BY
divulgar	BgJL	/
diálogo	BdIF	r
diámetro	BdIw	y
dni	BgYd	CS
doblaje	BgKK	7
doblar	BgLF	f
doblar	BgLk	v
doblar	BgMT	j
doble	BgM2	Z
doce	BgN4	W
docena	BgNP	p
doctor	BgUt	o
doctor	BgVV	6
doctora	BgQj	s
doctora	BgRP	BB
doctora	BgS3	s
doctorado	BgO/	Bk
doctoral	BgSQ	n
doctorarse	BgTj	BK
doctrina	BgWP	t
documentar	BgW8	v
documento	BgXr	y
documento nacional de identidad	BgYd	CS
dogo	Bgav	j
doler	BgbS	t
dolido	Bgb/	j
dolor	Bgfl	n
dolor de cabeza	Bgci	Bf
dolor de garganta	BgeB	Bk
doloroso	BggM	r
domar	Bgg3	p
domiciliado en	BgiF	0
domicilio	Bgi5	y
dominante	Bgjr	BA
dominante	Bgkr	r
dominante	BglW	w
dominar	BgmG	n
dominar	Bgmt	n
dominar	BgnU	x
domingo	BgoF	s
dominico	Bgox	y
dominio	Bgpj	v
dominio	Bgq8	v
dominio	BgqS	q
dominio	Bgrr	q
dominio	BgsV	t
dominio	BgtC	BM
dominio	BguO	r
doméstico	Bghg	l
donación de sangre	Bgu5	BM
donante	BgyX	s
donante	BgzD	q
donante de sangre	BgwF	BK
donante de sangre	BgxP	BI
donativo	Bgzt	BH
donde	Bg00	g
dondequiera	Bg2H	t
donostiarra	Bg20	y
dopaje	Bg3m	n
dopar	Bg4N	b
dorada	Bg4o	t
dorado	Bg5V	y
dormido	Bg6H	6
dormilona	Bg7B	5
dormilón	Bg76	2
dormir	Bg/z	d
dormir a su gusto	Bg8w	5
dormir bastante	Bg9p	1
dormir como un tronco	Bg+e	BV
dormirse	BhAQ	o
dormitorio	BhA4	5
dos	BhD5	R
dosificación	BhBx	8
dosificar	BhCt	o
dosis	BhDV	k
dotado	BhEK	g
drama	BhEq	l
drama	BhFP	q
dramático	BhF5	r
drenaje	BhHM	BC
dresde	BhIO	c
droga	BhKk	m
drogadicta	BhIq	9
drogadicto	BhJn	9
drogarse	BhL1	t
drogarse	BhLK	r
drástico	BhGk	o
dualidad	BhMi	Bb
dualismo	BhN9	u
ducha	BhOr	m
ducharse	BhPR	p
duda	BhP6	l
dudar	BhQf	f
dudosa	BhQ+	z
dudoso	BhQ+	z
duelo	BhRx	k
duelo	BhSV	l
duermevela	BhY0	3
dueña	BhS6	u
dueña	BhTo	/
dueña	BhUn	BV
dueño	BhV8	s
dueño	BhWo	7
dueño	BhXj	BR
dulce	BhZr	d
dulzura	BhaI	r
duna	Bhaz	i
dunquerque	BhbV	l
duodécima	Bhb6	Bd
duodécimo	Bhb6	Bd
duplicado	Bhd+	BF
duplicar	BhfD	k
duque	Bhfn	k
duquesa	BhgL	q
dura	BhnU	0
dura	BhoI	r
duración	Bhg1	v
duración	Bhhk	1
duradero	BhiZ	8
duradero	BhjV	p
durante	BhlH	e
durante cinco minutos	Bhj+	BJ
durar	Bhll	7
durazno	Bhmg	0
duro	BhnU	0
duro	BhoI	r
dátil	BURj	m
débil	BUeO	g
década	BUjs	s
décima	BU0D	BJ
décimo	BU0D	BJ
día	BdJi	f
día de la candelaria	Bc/I	CS
día de los reyes	BdBa	Cs
día de los reyes magos	BdBa	Cs
días de la semana	BdNR	BN
dócil	BgOO	x
dónde está	Bg1U	z
dúo	BhdX	n
ebanista	Bhoz	BH
ebria	Bhqc	v
ebrio	Bhp6	i
ebrio	Bhqc	v
eccema	BhrL	BC
echar	Bh0v	x
echar	Bh1g	0
echar	Bh2U	BW
echar	Bh3q	h
echar a perder	BhsN	BL
echar candela	BhtY	BG
echar de menos	Bhue	x
echar flores	BhvP	2
echar una cacha	Bhzs	BD
echarse	BhzE	o
echarse atrás	BhwF	B1
echarse un polvo	Bhx6	BK
eclipse	Bh4L	z
eclíptica	Bh4+	/
eco	Bh85	f
eco	Bh8a	f
ecologista	Bh7b	/
ecología	Bh59	x
ecológico	Bh6u	t
economizar	BiAV	r
economía	Bh9Y	y
económico	Bh+K	BI
económico	Bh/S	BD
ecuación	BiBA	y
ecuador	BiBy	g
ecuador	BiCS	v
ecuménica	BiDB	BJ
ecuménico	BiDB	BJ
eczema	BhrL	BC
edad	BiFK	j
edad adulta	BiEK	BA
edad media	BiFt	4
edad media	BiGl	4
edema	BiHd	l
edición	BiIq	BE
edificar	BiJu	k
edificio	BiKS	x
edimburgo	BiLD	n
edipo	BiLq	n
editar	BiMR	u
educación	BiOW	Bj
educación de adultos	BiM/	BX
educado	BiP5	4
educar	BiQx	k
educar	BiRV	j
educativo	BiR4	4
edulcorar	Blxd	BA
edén	BiIC	o
eeuu	BiSw	X
efectivamente	BiTH	4
efectivo	BiT/	o
efectivo	BiUn	z
efecto	BiWg	Bk
efecto colateral	BiVa	BG
efervescente	BiYE	y
eficacia	BiY2	BQ
eficaz	BiaG	j
eficiencia	Biap	BQ
eficiente	Bib5	6
eficiente	Bicz	BB
egipto	Bid0	d
egoísmo	BieR	v
egoísta	BifA	p
egoísta	Bifp	BD
eje	Bimx	g
ejecución	Bigs	2
ejecución	Bihi	BN
ejecutar	Biiv	k
ejecutar	BijT	2
ejecutivo	Bik2	BK
ejecutivo	BikJ	t
ejecutivo	BimA	x
ejemplar	BinR	/
ejemplar	Bio7	BE
ejemplar	BioQ	r
ejemplo	Bip/	r
ejercer	Biqq	m
ejercicio	BirQ	1
ejercicio	BisF	BI
ejército	BitN	BI
el	Bi0y	O
el año próximo	Bixn	4
el cabo	Biz2	e
el cairo	Bi0U	e
el domingo	Bi1A	9
el jorobado de notre dame	BjIr	Bh
el jueves	BjKM	n
el jueves que viene	BjKz	BE
el lunes	BjM/	g
el martes	BjNf	l
el mes que viene	BjOE	7
el mismo	BjQa	BF
el miércoles	BjO/	s
el mío	BjPr	v
el nuestro	BjRf	m
el que	BjVv	l
el que	BjWU	V
el salvador	BjXi	t
el suyo	BjYP	u
el sábado	BjWp	5
el tuyo	BjY9	x
el viernes	Bjau	n
el viernes pasado	BjbV	9
el vuestro	BjcS	l
elaborado	BiuV	BD
elaborar	BivY	r
elaborar	Biw9	q
elaborar	BiwD	6
elba	BizU	i
elección	Bi19	t
electricidad	Bi2q	BB
electricista	Bi3r	7
electrificar	Bi5R	2
electrodoméstico	Bi6H	Bm
electrón	Bi8g	x
electrónico	Bi7t	z
elefante	Bi+T	u
elefante marino	Bi9R	BC
elegancia	Bi/B	y
elegante	Bi/z	BH
elegir	BjA6	/
elemento	BjB5	v
elevar	BjE4	j
elevar	BjEK	u
elevarse	BjC2	p
elevarse	BjDf	r
eliminar	BjFb	y
elipse	BjGN	o
elite	BjG1	k
elitista	BjHZ	m
elixir	BjH/	s
ella	BjL3	S
ellas	BjMa	l
ello	BjMJ	R
ellos	BjMa	l
elocuencia	BjSF	Bp
elocuente	BjTu	BA
elogiar	BjUu	d
elogio	BjVL	k
eludir	BjZu	BA
elástico	Biyf	1
eléctrico	Bi4m	r
embajada	Bjc3	x
embajador	Bjei	2
embajadora	Bjdo	6
embarazado	BjfY	v
embarazar	Bjg9	r
embarazar	Bjho	t
embarazarse	BjgH	2
embarazo	BjiV	4
embarazoso	BjjN	9
embarcación	BjkK	BX
embarcación	Bjlh	BI
embarcarse	Bjmp	BB
embargar	Bjnq	o
embargo	Bjo+	u
embargo	BjoS	s
embolia	Bjps	q
emborracharse	BjqW	1
emborracharse	BjrL	5
embriagada	BjsE	BJ
embriagado	BjsE	BJ
embriaguez	BjtN	BV
embrión	Bjui	t
embrujado	BjvP	7
embrujar	BjwK	4
embrujo	BjxC	q
embutido	Bjxs	t
embutidos	BjyZ	8
emergencia	BjzV	1
emerger	Bj0K	n
emigración	Bj0x	BT
emigrante	Bj2E	BM
emigrar	Bj3Q	o
eminente	Bj34	s
emiratos árabes unidos	Bj4k	Ba
emisora	Bj5+	BF
emitir	Bj7D	u
emitir	Bj7x	0
emocionado	Bj8l	4
emocional	Bj9d	r
emocionante	Bj+I	u
emocionar	Bj+2	3
emoción	Bj/t	w
emoción	BkAd	BD
empacar	BkBg	5
empacharse	BkCZ	7
empacho	BkDU	0
empalmar	BkEI	8
empanada	BkGR	v
empanada	BkHA	9
empanada de manzana	BkFE	BN
empanadilla	BkH9	8
empapado	BkJs	s
empapar	BkKY	1
empaquetar	BkLN	q
emparejar	BkL3	n
empatado	BkMe	t
empatar	BkNL	Bp
empate	BkO0	y
empate	BkPm	BP
empañar	BkI5	z
empeoramiento	BkU4	BF
empeorar	BkV9	t
emperador	BkWq	y
emperador	BkXc	4
emperatriz	BkYU	2
empezar	BkZ4	l
empezar a	BkZK	u
empeñado	BkQ1	p
empeñar	BkSN	p
empeñarse	BkRe	v
empeño	BkS2	r
empeño	BkTh	o
empeño	BkUJ	v
empleada	Bkad	BO
empleada	Bkbr	BN
empleado	Bkc4	z
emplear	Bkdr	2
emplear	Bkeh	1
empleo	BkfW	/
empollona	BkgV	6
empollón	BkhP	3
empolvarse	BkiG	t
emprendedor	Bkiz	7
emprender	Bkju	BF
emprender	Bkkz	s
empresa	BknU	v
empresa constructora	BI/N	B2
empresa de exportación	Bklf	B1
empresario	BkoD	4
empujar	Bko7	0
empujar	Bkpv	k
empujar	BkqT	8
empuje	BkrP	BJ
empujón	BksY	BB
en bicicleta	Bkwk	x
en breve	BkxV	0
en bruto	BkyJ	k
en calzoncillos	Bk2i	4
en cama	D+ue	BD
en cambio	Bk3a	m
en celo	BlIJ	l
en coche	BlZf	k
en conjunto	Blf/	n
en conjunto	BlfS	t
en conmemoración de	Blgm	Bc
en conserva	BliC	q
en contra	Blis	h
en cuarto lugar	BlkC	y
en cursiva	BlpA	x
en directo	Blw3	m
en efectivo	Bl1b	t
en el campo	Bl2I	p
en el fondo	Bl3X	t
en el fondo	Bl4E	v
en el minuto 68	Bl4z	BH
en el sofá	Bl56	o
en escabeche	BmCX	s
en exceso	BmDD	o
en extinción	BmDr	6
en fin	BmN2	j
en frente	BmXs	l
en frente de	BmWK	y
en general	BmlJ	z
en la cama	BmyN	i
en la justa medida	Bm0y	3
en las afueras	Bm1p	BO
en marcha	Bm4M	o
en mayúscula	Bm40	y
en medio de	Bm5m	t
en negrita	Bm7n	3
en par	BnAX	c
en ruina	ELzH	BC
en total	BnkV	l
en un santiamén	Bn7w	v
en un trozo	Bn8f	q
en voz alta	BoJ7	8
enamorada	BktZ	BI
enamorado	BktZ	BI
enamorarse de	Bkuh	5
enana	Bkva	m
enano	BkwA	k
encadenar	Bkyt	l
encadenar	BkzS	m
encaje	Bk04	v
encaje	Bkz4	BA
encalillarse	Bk1n	7
encaminar	Bk4A	v
encaminarse	Bk4v	7
encandilar	Bk5q	l
encantada	Bk6P	m
encantado	Bk61	m
encantador	Bk7b	B3
encantadora	Bk7b	B3
encantar	Bk9S	o
encanto	Bk96	BM
encarcelar	Bk/G	2
encarecerse	Bk/8	v
encargada	BlAr	BU
encargado	BlB/	u
encargado	BlCt	BW
encargar	BlE8	BA
encargarse de	BlED	5
encargo	BlF8	u
encargo	BlGq	v
encariñarse	BlHZ	w
encendedor	BlIu	3
encender	BlJl	0
encender	BlKZ	p
encendido	BlLC	u
encendido	BlLw	w
encendido	BlMg	z
encerar	BlNT	y
encerrado	BlO4	w
encerrado	BlOF	z
encerrar	BlPo	n
encerrar	BlQP	+
enchufado	BlRN	w
enchufar	BlR9	n
enchufar	BlSk	v
enchufe	BlTT	t
enchufe	BlUA	r
enciclopedia	BlVX	+
encierro	BlWV	3
encierro	BlXM	y
encima	BlX+	1
encina	BlYz	s
encogerse de hombros	BlaD	BH
encomendar	BlbK	p
encomendar	Blbz	n
encomienda	Blca	BP
encomienda	Bldp	z
encomienda	Blec	2
encontrar	BljN	1
encubrir	Blk0	i
encubrir	BllW	l
encuentro	Bll7	y
encuesta	BloU	s
encuesta demoscópica	Blmt	Bn
encía	BlUr	s
endeble	Blpx	k
endeble	BlqV	2
endemoniado	Blr5	v
endemoniado	BlrL	u
endenantes	Blso	BL
enderezar	Bltz	5
endeudarse	Blus	w
endiablado	Blvc	u
endibia	BlwK	t
endulzar	Blxd	BA
endurecer	Blyd	3
endurecerse	Bl0B	w
endurecerse	BlzU	t
ene	Bl0x	q
eneldo	Bl2x	m
eneldo	CEWv	BT
enemiga	Bl6i	t
enemiga	Bl7P	/
enemigo	Bl7P	/
enemigo	Bl8O	r
enemistad	Bl85	0
energético	Bl9t	/
energía	Bl+s	u
enero	BmAV	1
enero	BmBK	m
enervar	BmBw	n
enfadado	BmEl	BJ
enfadarse con	BmFu	3
enfado	BmGl	o
enfado	BmHN	l
enferma	BmM/	3
enfermedad	BmJL	2
enfermera	BmKB	BZ
enfermero	BmLa	5
enfermizo	BmMT	s
enfermo	BmM/	3
enfocar	BmOZ	n
enfocar	BmPA	r
enfoque	BmPr	n
enfrentamiento	BmQS	BC
enfrentar	BmUV	BM
enfrentarse	BmTZ	8
